Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP03-001,"姫森ルーナ
(Himemori Luna)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: I Know How to Use a Computew!
[1/Turn]Reveal 1 item with ""PC"" in its card name from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Lu-knights, Assemble
[1/Game]Usable if your center holomem is <Himemori Luna>:Reveal 1~4 <Lu-knights> from your deck, and attach them divided as you choose to your holomem. Then, shuffle the deck.",,OUR
hBP03-002,"獅白ぼたん
(Shishiro Botan)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: poi
[1/Turn]Send 1 cheer from your archive to your back holomem <Shishiro Botan>.

SP Oshi Skill holo Power -2: Sniping
[1/Game]Usable if your center holomem is green:Deal 100 special damage to your opponent's center holomem other than Debut.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP03-003,"さくらみこ
(Sakura Miko)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -2: Are 35P Making a Comeback?!
[1/Turn]You may roll a die once:If it is 1, 2, 4 or 6, return 1 <35P> from your archive to hand. If it is 3 or 5, return 2 <35P> from your archive to hand.

SP Oshi Skill holo Power -2: The Strength to not Give Up
[1/Game]Usable if your center holomem is red:Choose any number of cards from your hand and return them to the bottom of the deck in any order. Then, draw cards from your deck until your hand has 5 cards.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP03-004,FUWAMOCO,,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -3: Moco-chan!
[1/Turn]Send the top card of your cheer deck to your 1st holomem <Mococo Abyssgard>.

SP Oshi Skill holo Power -2: BAU BAU!
[1/Game]Choose 1 of your holomem with #Advent. During this turn, you may also target your opponent's back holomem with the chosen holomem's Arts.",,OUR
hBP03-005,"常闇トワ
(Tokoyami Towa)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -2: Devil's Voice
[1/Turn]During this turn, your [center holomem and collab holomem] with #Singing get Arts+20.

SP Oshi Skill holo Power -2: Diabolical Deeds
[1/Game]During your opponent's turn, usable when your <Tokoyami Towa> is downed:Return 2 cheers each from your opponent's center holomem and collab holomem to the bottom of the cheer deck in any order.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP03-006,"戌神ころね
(Inugami Korone)",,Oshi holomem,OSR,Yellow,6,,"Oshi Skill holo Power -2: Infinite Stamina
[1/Turn]Set 1 of your resting <Inugami Korone> to active.

SP Oshi Skill holo Power -3: Wow Wow Wow Wow
[1/Game]Usable when your yellow holomem is downed:Reattach 1 of that holomem's cheers to your other holomem, and return 1 card from among the stacked holomem including that downed holomem to hand.",,OUR
hBP03-007,"角巻わため
(Tsunomaki Watame)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Welcome to the Member Sheep!
[1/Turn]Reveal 1 fan from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Watame isn't at fault, right?
[1/Game]Send the top 2 cards of your cheer deck to 1 of your <Tsunomaki Watame>.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP03-008,"アユンダ・リス
(Ayunda Risu)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: hololive ID Family
[1/Turn]Usable if your holomem with #ID Gen 1 is downed:Draw 1 card.

SP Oshi Skill holo Power -2: Ganbari Risu~!
[1/Game]During this turn, all <Ayunda Risu> on your stage get Arts+50.",,OUR
hBP03-009,"姫森ルーナ
(Himemori Luna)",,Debut holomem,C,White,90,#JP #Gen 4 #Baby,"Arts: Are you there, Everyone?
Cost: 1 any color
Power: 10
If you do not have a holomem with <Lu-knights> attached, reveal 1 <Lu-knights> from your deck, and attach it to your holomem. Then, shuffle the deck.

Extra: You may include any number of this holomem in the deck",,
hBP03-010,"姫森ルーナ
(Himemori Luna)",,Debut holomem,U,White,80,#JP #Gen 4 #Baby,"Collab Effect: Princess of Candy Kingdom
If your center holomem is <Himemori Luna>, draw 1 card from your deck.

Arts: Do you Want Candy?
Cost: 1 white
Power: 20",,
