Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP04-001,"博衣こより
(Hakui Koyori)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: Koyori Experimenting
[1/Turn]During this turn, 1 of your <Hakui Koyori> that has a support card with #KOYO LABO attached gets Arts+30.

SP Oshi Skill holo Power -2: Assisants, mmmwah!
[1/Game]Usable when your <Hakui Koyori> with <Koyori's Assistants> attached would take damage from the opponent during the opponent's turn:1 of those holomem takes -100 damage.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP04-002,"儒烏風亭らでん
(Juufuutei Raden)",,Oshi holomem,OSR,Green,6,,"Oshi Skill holo Power -2: ReGLOSS's Elegant Girl
[1/Turn]Send 1 cheer from your archive to your holomem with #ReGLOSS.

SP Oshi Skill holo Power -2: With the Extra Time, Round and Round
[1/Game]Return 1~4 events with #Mushroom from your archive to hand. Then, draw 1 card for every 2 cards returned to hand.",,OUR
hBP04-003,"一条莉々華
(Ichijou Ririka)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -3: Reach the Top!
[1/Turn]If your center holomem has #ReGLOSS, deal 50 special damage to your opponent's collab holomem.

SP Oshi Skill holo Power -1: Cute! Positive! Genius!
[1/Game]Usable when your <Ichijou Ririka> is downed during the opponent's turn:Reveal 1 [<Ichijou Ririka> and/or <Struggle Meal>] each from your deck, and add them to hand. Then, shuffle the deck.",,OUR
hBP04-004,"雪花ラミィ
(Yukihana Lamy)",,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -1: I Love You
[1/Turn]Usable when your holomem is downed during the opponent's turn:Return 1 fan attached to that holomem to hand.

SP Oshi Skill holo Power -3: Vroom, Bari Bari Bari Bari
[1/Game]Choose 1 of your <Yukihana Lamy>. During this turn, the chosen holomem deals +100 special damage to 1 of your opponent's holomem, and when the chosen holomem downs an opponent's holomem, draw 2 cards.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP04-005,"ラプラス・ダークネス
(La+ Darknesss)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -2: Leader's Work
[1/Turn]During this turn, if you would roll a die 3 times for 1 ability of your holomem, regard all numbers on the faces of that die as 5.

SP Oshi Skill holo Power -3: We Are Secret Society holoX!
[1/Game]Choose 1 of your holomem with #holoX. During this turn, the chosen holomem's Arts may be used without cheer requirements.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP04-006,"大空スバル
(Oozora Subaru)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Mental! Physical! Passion!
[1/Turn]Usable if your <Oozora Subaru> would take damage from the opponent during the opponent's turn:All of your <Oozora Subaru> take -30 damage.

SP Oshi Skill holo Power -2: Comedic Reactions
[1/Game]Usable if your life is 3 or less:During this turn, your center holomem <Oozora Subaru> gets Arts+100.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP04-007,"アーニャ・メルフィッサ
(Anya Melfissa)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Mystical Ritual
[1/Turn]Reveal 1 <Ancient Weapon> from your deck, and attach it to your holomem. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Those Who Think about Life Win
[1/Game]Send 1 cheer each from your archive to all of your holomem with <Ancient Weapon> attached.",,OUR
hBP04-008,"博衣こより
(Hakui Koyori)",,Debut holomem,C,White,100,#JP #holoX #Kemomimi,"Arts: Konkoyo~
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,
hBP04-009,"博衣こより
(Hakui Koyori)",,Debut holomem,U,White,100,#JP #holoX #Kemomimi,"Arts: Oh, You Poor Souls Lost within an Eternal Cycle
Cost: 1 any color
Power: 20
Look at the top 3 cards of your deck. Reveal 1 [Debut holomem with #holoX or support card with #KOYO LABO] from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.",,
hBP04-010,"博衣こより
(Hakui Koyori)",,1st holomem,C,White,160,#JP #holoX #Kemomimi,"Arts: Assistants~ Are You Tired?
Cost: 1 any color
Power: 40

Arts: Will You Let Koyo Sleep Beside You?
Cost: 1 white, 1 any color
Power: 60",,
