Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Baton Pass,Text,Alternate Art,Rarity,Alternate Art 2,Rarity
hBP08-001,IRyS,,Oshi holomem,OSR,White,5,,,"Oshi Skill holo Power -2: Nephilim's Blessing
[1/Turn] Choose 1 holomem on your stage. During this turn, the chosen holomem gets Arts+20. If the chosen holomem has purple cheer attached, it gets Arts+50 instead.

SP Oshi Skill holo Power -2: HOPE and DESPAIR
[1/Game] Draw 1 card for each cheer attached to all of your <IRyS>. Put 1 card from the top of your deck to holo Power for each purple cheer attached to all of your <IRyS>.",,OUR,,
hBP08-002,"セシリア・イマーグリーン
(Cecilia Immergreen)",,Oshi holomem,OSR,Green,5,,,"Oshi Stage Skill: Justice's Ancient Automaton
All of your <Cecilia Immergreen> are not set to active during your reset phase.

Oshi Skill holo Power -2: SPIN TO WIN!
[1/Turn] Send the top 2 cards of your cheer deck divided as you choose to your resting <Cecilia Immergreen>. Then, set all holomem who received cheers from this ability to active.",,OUR,,
hBP08-003,FUWAMOCO,,Oshi holomem,OSR,Red,5,,,"Oshi Stage Skill: Are You Ready?
All red cheers attached to your [<Fuwawa Abyssgard> and <Mococo Abyssgard>] are also regarded as blue cheers.

Oshi Skill holo Power -2: Mococo Will Protect Everyone's Smiles!
[1/Turn] If you have red cheer on your stage, return 1 holomem with #Advent from your archive to hand. If you have blue cheer on your stage, send 1 cheer from your archive to your holomem with #Advent.

[OUR is the same as SEC but without the signatures]",,SEC,,
hBP08-004,"水宮枢
(Mizumiya Su)",,Oshi holomem,OSR,Blue,5,,,"Oshi Skill holo Power -1: It Would Be Great If You Just Watched Su
[1/Turn] Choose your opponent's center holomem. Until the end of your opponent's next turn, the chosen holomem requires +3 colorless for its baton pass.

SP Oshi Skill holo Power -2: Ike Ike Don Don!
[1/Game] Deal the same amount of special damage to 1 of your opponent's back holomem as the amount of damage taken by your opponent's center holomem.",,,,
hBP08-005,"鷹嶺ルイ
(Takane Lui)",,Oshi holomem,OSR,Purple,5,,,"Oshi Stage Skill: It's Already Friday Lui
At the end of your turn, if your center holomem is <Takane Lui> and you have a collab holomem, draw cards until your hand has 4 cards.

Oshi Skill holo Power -2: Hoisa Hoisa
[1/Turn] Archive 2 cards from your hand. If you archived 2 cards with this ability, deal 50 special damage to your opponent's [center holomem and collab holomem] other than Debut.

[OUR is the same as SEC but without the signature]",,SEC,,
hBP08-006,"一伊那尓栖
(Ninomae Ina'nis)",,Oshi holomem,OSR,Purple,5,,,"Oshi Stage Skill: WORLD DOMINATION
If all holomem on your opponent's stage have a different color to their Oshi holomem, the Arts of all of your <Ninomae Ina'nis> may be used without cheer requirements.

Oshi Skill holo Power -X: Colors of Ina'nis
[1/Turn] For each holo Power archived for this ability, choose 1 holomem on your opponent's stage. During this turn, the chosen holomem are regarded as holomem with all colors.",,OUR,,SEC
hBP08-007,"音乃瀬奏
(Otonose Kanade)",,Oshi holomem,OSR,Yellow,5,,,"Oshi Skill holo Power -2: Kanade Melody
[1/Turn] Usable at the end of your turn if your center holomem <Otonose Kanade> used Arts during this turn: Swap your center holomem with 1 of your back holomem with #ReGLOSS.

SP Oshi Skill holo Power -1: Thank You for the Applause!
[1/Game] Send the top 3 cards of your cheer deck to your center holomem <Otonose Kanade>. At the end of this turn, archive 3 cheers on your stage.

[OUR is the same as SEC but without the signature]",,SEC,,
hBP08-008,IRyS,,Debut holomem,C,White,130,#EN #Promise #Singing,1,"Collab Effect: Promise of Spring
If you went second and it is your first turn, choose 1 holomem on your stage with #Promise. During this turn, the chosen holomem gets Arts+30. Then, if there is purple cheer on your stage, draw 1 card.

Arts: Budding Spring
Cost: 1 any color
Power: 30",,,,
hBP08-009,IRyS,,Debut holomem,U,White,110,#EN #Promise #Singing,1,"Collab Effect: Maybe the Day Will Come When We Can Understand Each Other
Look at your holo Power. Reveal 1 support card from among them, and add it to hand. Then, shuffle your holo Power. If you added a card to hand, put the top card of your deck to holo Power.

Arts: I'm Looking for Something Much Deeper
Cost: 1 any color
Power: 20",,,,
hBP08-010,IRyS,,1st holomem,C,White,130,#EN #Promise #Singing,1,"Bloom Effect: Race with Me!!
Reveal 1 [<Bloom&Gloom> or <GuyRyS>] from your deck, and add it to hand. Then, shuffle the deck.

Arts: I am Lightning Speed
Cost: 1 any color
Power: 40",,,,
hBP08-011,IRyS,,1st holomem,C,White,170,#EN #Promise #Singing,1,"Collab Effect: The Hot Pink One
If a white cheer is attached to this holomem, draw 1 card.

Arts: Hot Ending
Cost: 1 any color
Power: 30
If a purple cheer is attached to this holomem, draw 1 card.",,,,
