Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP02-001,"白上フブキ
(Shirakami Fubuki)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: Mascot Creation
[1/Turn]Reveal 1 mascot from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: FBKINGDOM
[1/Game]You may roll a die once for every 2 mascots on your stage if your white holomem downed your opponent's holomem:If an odd number appears once or more, your opponent gets life-1.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP02-002,"パヴォリア・レイネ
(Pavolia Reine)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: HALU
[1/Turn]By archiving 1 green cheer from your holomem, reveal 1 cheer from your cheer deck, and send it to your holomem. Then, shuffle the cheer deck.

SP Oshi Skill holo Power -2: Vibrant Banquet
[1/Game]During this turn, all of your holomem on stage with #ID Gen 2 get Arts+20 for each of that holomem's cheer colors.",,OUR
hBP02-003,"宝鐘マリン
(Houshou Marine)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -3: Ahoy!
[1/Turn]Bloom 1 of your holomem with #Gen 3 that bloomed this turn once more using a holomem from your hand.

SP Oshi Skill holo Power -2: Set Sail~!
[1/Game]Deal 50 special damage for each holomem stacked to your <Houshou Marine> center holomem to your opponent's center holomem or collab holomem.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP02-004,"沙花叉クロヱ
(Sakamata Chloe)",,Oshi holomem,OSR,Blue,6,,"Oshi Skill holo Power -1: Poe Poe Poe~
[1/Turn]Usable if your center holomem is <Sakamata Chloe>:Look at the top 3 cards of your deck. Archive all of those cards, or return them to the top of the deck in any order.

SP Oshi Skill holo Power -3: Life Reset Button
[1/Game]Count the number of cards in your hand, return [all of your hand cards and all of your archived holomem] to deck and shuffle it. Then, draw 1 card for each card returned from hand to deck.

[there is also a SEC version available, which is a signed version of the OUR]",,OUR
hBP02-005,"紫咲シオン
(Murasaki Shion)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -1: Heeeyyyyy
[1/Turn]Usable when your <Murasaki Shion>'s ability rolled a die:Reroll the die once.

SP Oshi Skill holo Power -2: Shion's Amazing Magic
[1/Game]Usable when your purple center holomem used Arts:Deal 50 special damage to your opponent's center holomem for each of your opponent's center holomem's cheers.",,OUR
hBP02-006,"クレイジー・オリー
(Kureiji Ollie)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -2: Zombie Tactics
[1/Turn]Bloom 1 of your holomem with #ID Gen 2 using a holomem from your archive.

SP Oshi Skill holo Power -2: Ollie Revives
[1/Game]Draw 4 cards, and archive 2 cards from hand. You may bloom 1 of your holomem using a holomem from your archive.",,OUR
hBP02-007,"森カリオペ
(Mori Calliope)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -2: Sampling
[1/Turn]By archiving 2 cards from your hand, return 2 holomem with #EN from archive to hand.

SP Oshi Skill holo Power -2: Reaper's Rap
[1/Game]Usable if your center holomem is <Mori Calliope>:During this turn, after 1 of your <Mori Calliope> used Arts, use the same Arts once more.",,OUR
hBP02-008,"白上フブキ
(Shirakami Fubuki)",,Debut holomem,C,White,100,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Arts: Kon-Kon Kitsune!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,
hBP02-009,"白上フブキ
(Shirakami Fubuki)",,Debut holomem,U,White,80,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Gift: Oha-Kon Kitsune!
[Collab Position Only]All of your holomem with mascot attached get Arts+10.

Arts: Otsukon
Cost: 1 white
Power: 20",,
hBP02-010,"白上フブキ
(Shirakami Fubuki)",,1st holomem,C,White,150,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Arts: Osmanthus Flower Fubuki
Cost: 1 white
Power: 40

Arts: Thank You Friends♥
Cost: 1 white, 1 any color
Power: 60",,
hBP02-011,"白上フブキ
(Shirakami Fubuki)",,1st holomem,U,White,120,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Bloom Effect: You Can't Look Away from Shirakami
Reveal 1 card with #Shirakami's Character from your deck, and add it to hand. Then, shuffle the deck.

Arts: Nope, No Can Do!
Cost: 1 any color
Power: 40",,
hBP02-012,"白上フブキ
(Shirakami Fubuki)",,1st holomem,R,White,100,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Bloom Effect: Gonna Move You a Little
You may reattach 1 mascot from your stage to your holomem.

Arts: Lend me your strength, okay?
Cost: 1 white, 1 any color
Power: 50+
During this turn, your [center holomem and collab holomem] with mascot attached get Arts+20.",,
hBP02-013,"白上フブキ
(Shirakami Fubuki)",,2nd holomem,RR,White,180,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Gift: Together with Everyone!
You may attach up to 2 mascots with different card names to this holomem.

Arts: Mascots Feast
Cost: 2 white, 1 any color
Power: 80+, +50 vs purple
This Arts gets +20 for each mascot on your stage.",,UR
hBP02-014,"白銀ノエル
(Shirogane Noel)",,Debut holomem,C,White,130,#JP #Gen 3 #Alcohol,"Arts: Kon-Muscle~!
Cost: 1 any color
Power: 20

Extra: You may include any number of this holomem in the deck",,
hBP02-015,"白銀ノエル
(Shirogane Noel)",,1st holomem,C,White,180,#JP #Gen 3 #Alcohol,"Arts: Oha-Muscle~!
Cost: 1 any color
Power: 30

Arts: Otsu-Muscle~
Cost: 1 white, 1 any color
Power: 60",,
hBP02-016,"白銀ノエル
(Shirogane Noel)",,1st holomem,U,White,130,#JP #Gen 3 #Alcohol,"Bloom Effect: Noe-chan's Heroic Figure......
If bloomed from Debut, reveal 1 [Debut holomem, 1st holomem or Spot holomem] with #Gen 3 from your deck, and add it to hand. Then, shuffle the deck.

Arts: Burn this Sight into Your Eyes♡
Cost: 2 any color
Power: 30",,
hBP02-017,"白銀ノエル
(Shirogane Noel)",,1st Buzz holomem,RR,White,260,#JP #Gen 3 #Alcohol,"Arts: Soft & Fluffy Musclehead Lady Knight
Cost: 2 any color
Power: 50

Arts: Gen 3 Power
Cost: 1 white, 2 any color
Power: 60+
[Collab Position Only]This arts gets +20 for every holomem with #Gen 3 on your stage other than this holomem. However, only up to 4 holomem are counted.

Extra: If this holomem is downed, you get Life-2",,UR
hBP02-018,"パヴォリア・レイネ
(Pavolia Reine)",,Debut holomem,C,Green,100,#ID #ID Gen 2 #Bird #Painting,"Arts: Perhatian!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,
hBP02-019,"パヴォリア・レイネ
(Pavolia Reine)",,Debut holomem,U,Green,60,#ID #ID Gen 2 #Bird #Painting,"Collab Effect: How to Turn Your Friends HALU
You may send 1 cheer from your archive to your holomem.

Arts: Very Easy!
Cost: 1 any color
Power: 20",,
hBP02-020,"パヴォリア・レイネ
(Pavolia Reine)",,1st holomem,C,Green,160,#ID #ID Gen 2 #Bird #Painting,"Arts: Royal Halu Sleepover
Cost: 1 green, 1 any color
Power: 50",,
hBP02-021,"パヴォリア・レイネ
(Pavolia Reine)",,1st holomem,U,Green,120,#ID #ID Gen 2 #Bird #Painting,"Bloom Effect: I'll sing and dance with all my heart.
Restore 10 HP to 1 of your holomem for each cheer color on your stage.

Arts: Keep Your Eyes on Me, Okay? I Love You!
Cost: 1 any color
Power: 20
You may send 1 cheer from your archive to your holomem.",,
hBP02-022,"パヴォリア・レイネ
(Pavolia Reine)",,1st holomem,R,Green,130,#ID #ID Gen 2 #Bird #Painting,"Bloom Effect: What Are You Waiting For?
Reveal 1 <Tatang> from your deck, and add it to hand. Then, shuffle the deck.

Arts: Spicy Night
Cost: 1 green, 1 any color
Power: 40+
If your stage has 2 or more cheer colors, this Arts gets +20.",,
hBP02-023,"パヴォリア・レイネ
(Pavolia Reine)",,2nd holomem,RR,Green,190,#ID #ID Gen 2 #Bird #Painting,"Bloom Effect: Kanjeng
Reveal 1 cheer from your cheer deck, and send it to your holomem. Then, shuffle the cheer deck.

Arts: Peafowl Dance
Cost: 1 green, 3 any color
Power: 100+, +50 vs white
This Arts gets +20 for every cheer color on your stage.",,UR
hBP02-024,"大神ミオ
(Ookami Mio)",,Debut holomem,C,Green,90,#JP #GAMERS #Kemomimi #Cooking,"Arts: Hey hey, it's me~ Ookami Mio~
Cost: 1 any color
Power: 10
You may reattach 1 cheer from your stage to your holomem with #JP.

Extra: You may include any number of this holomem in the deck",,
hBP02-025,"大神ミオ
(Ookami Mio)",,1st holomem,C,Green,160,#JP #GAMERS #Kemomimi #Cooking,"Arts: Oha-Miooon
Cost: 1 any color
Power: 30

Arts: Otsu-Miooon
Cost: 1 green, 1 any color
Power: 50",,
hBP02-026,"大神ミオ
(Ookami Mio)",,1st holomem,U,Green,100,#JP #GAMERS #Kemomimi #Cooking,"Bloom Effect: Grown as an Idol
Reveal 1 cheer from your cheer deck with the same color as 1 of your holomem with #GAMERS on stage, and send it to your holomem. Then, shuffle the cheer deck.

Arts: Please Watch Over Me This Year too!
Cost: 1 any color
Power: 20",,
hBP02-027,"大神ミオ
(Ookami Mio)",,1st Buzz holomem,RR,Green,240,#JP #GAMERS #Kemomimi #Cooking,"Arts: Tarot's Guidance
Cost: 1 green, 1 any color
Power: 60+
You may archive the top card of your deck:If the archived card is a holomem, this Arts gets +20. If it is a support card, this Arts gets +50.

Extra: If this holomem is downed, you get life-2",,UR
hBP02-028,"宝鐘マリン
(Houshou Marine)",,Debut holomem,C,Red,100,#JP #Gen 3 #Painting #Sea,"Arts: I'm Houshou Marine, Captain of the Houshou Pirates!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,
hBP02-029,"宝鐘マリン
(Houshou Marine)",,Debut holomem,U,Red,70,#JP #Gen 3 #Painting #Sea #Alcohol,"Collab Effect: Drinking at Home with Marine
Deal 20 special damage to your opponent's collab holomem.

Arts: It's ""Captain"" Marine, Got it!?
Cost: 1 red, 1 any color
Power: 30",,
hBP02-030,"宝鐘マリン
(Houshou Marine)",,1st holomem,C,Red,160,#JP #Gen 3 #Painting #Sea,"Arts: What's the Captain Gonna Do to Me?
Cost: 1 red
Power: 40

Arts: Such a Huge Perv ♥
Cost: 1 red, 1 any color
Power: 60",,
hBP02-031,"宝鐘マリン
(Houshou Marine)",,1st holomem,U,Red,130,#JP #Gen 3 #Painting #Sea,"Bloom Effect: Your Voices Are My Support!
Deal 20 special damage to your opponent's collab holomem.

Arts: Let's Set Sail Together! (Wholesome)
Cost: 1 any color
Power: 30",,
