Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP06-001,"ラオーラ・パンテーラ
(Raora Panthera)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: BIG CAT means...
[1/Turn] If your center holomem is <Raora Panthera>, reveal 1 holomem from your deck with the same card name as your collab holomem, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -1: BIG TROUBLE!!
[1/Game] During this game, all of your <Raora Panthera> do not rest during the reset phase.

[OUR is the same as SEC but without the signature]",,SEC
hBP06-002,"響咲リオナ
(Isaki Riona)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: I'll Do What I Like
[1/Turn] Archive the top 2 cards of your deck. During this turn, your [center holomem and collab holomem] with #FLOW GLOW get Arts+20.

SP Oshi Skill holo Power -1: And Live How I Want to!
[1/Game] Usable if your deck has 5 or less cards, and your holomem with #FLOW GLOW downed your opponent's center holomem: Your opponent gets life-1.",,OUR
hBP06-003,"風真いろは
(Kazama Iroha)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: Start by Taking Action If You're Lost!
[1/Turn] Send the top card of your cheer deck to your [Buzz holomem or <Kazama Iroha> bloomed from a Buzz holomem].

SP Oshi Skill holo Power -2: Unlimited Strength, I Daresay
[1/Game] During this turn, all <Kazama Iroha> on your stage get Arts+10 for each cheer on your stage. Then, if a Buzz holomem is on your stage, draw 3 cards.

[OUR is the same as SEC but without the signature]",,SEC
hBP06-004,"百鬼あやめ
(Nakiri Ayame)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -2: Oni Inferno
[1/Turn] Archive the top 1~2 cards of your cheer deck: Draw 1 card for each cheer archived.

SP Oshi Skill holo Power -2: Two Blades Strike as One! Oni Cleave
[1/Game] Deal 20 special damage to your opponent's center holomem or collab holomem for each red cheer in your archive.

[OUR is the same as SEC but without the signature]",,SEC
hBP06-005,"ハコス・ベールズ
(Hakos Baelz)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -1: Embodiment of Chaos
[1/Turn] If you used your SP Oshi Skill during this game, roll a die once. Draw cards until your hand has the same number as the result.

SP Oshi Skill holo Power -2: 🎲ƎNOZ N∩Ⅎ ƎH⊥ O⊥ ƎWOϽ˥ƎM🎲
[1/Game] Roll a die once. Archive a number of cards from your hand equal to the result.

[SEC version only available in EN - OUR (available in EN and JP) is the same as SEC but without the signature]",,SEC
hBP06-006,"ムーナ・ホシノヴァ
(Moona Hoshinova)",,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -1: Bright as the Full Moon
[1/Turn] Usable when special damage is dealt to your opponent's holomem: Deal 20 special damage to your opponent's center holomem and collab holomem.

SP Oshi Skill holo Power -2: Chorus of the Twin Moons
[1/Game] If the total number of cheers on both players' stage is 6 or more, reveal 1~3 cheers from your cheer deck, and send them divided as you choose to your holomem with #ID Gen 1. Then, shuffle the cheer deck.",,OUR
hBP06-007,"ロボ子さん
(Robocosan)",,Oshi holomem,OSR,Purple,6,,"Oshi Skill holo Power -2: I'm Not Broken!!
[1/Turn] Usable if your <Robocosan> is downed during your opponent's turn: Archive the top 2 cards of your deck. Then, return 1 <Robocosan> from your archive to hand.

SP Oshi Skill holo Power -1: Prepare to Be Dazzled by My ""High-Spec""♡
[1/Game] Draw 2 cards, and archive 2 cards from hand. Then, you may choose any number of <Roboser> from your archive, and attach them as you choose to your <Robocosan>.",,OUR
hBP06-008,"夏色まつり
(Natsuiro Matsuri)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Festival Wasshoi!!!
[1/Turn] Roll a die once. If the result is greater than or equal to your life, add 1 card from your deck to hand. Then, shuffle your deck. If the result is less than or equal to your life, put the top card of your deck to holo Power.

SP Oshi Skill holo Power -1: I Absolutely Want to Win!!!!!!!
[1/Game] If your center holomem is <Natsuiro Matsuri>, during this turn, the number of LIMITED support cards you can use becomes 2.

[OUR is the same as SEC but without the signature]",,SEC
hBP06-009,"ラオーラ・パンテーラ
(Raora Panthera)",,Debut holomem,C,White,110,#EN #Justice #Kemomimi #Painting,"Gift: BIG PINK CAT
[Center Position Only] Your collab holomem takes -10 damage.

Arts: I See You!
Cost: 1 any color
Power: 30",,
hBP06-010,"ラオーラ・パンテーラ
(Raora Panthera)",,Debut holomem,U,White,110,#EN #Justice #Kemomimi #Painting,"Collab Effect: Best Team I Could Wish For
If you went second and it is your first turn, reveal 1 [Debut holomem or Spot holomem] from your deck, and place it on stage. Then, shuffle the deck.

Arts: Found Amazing Friends!
Cost: 1 any color
Power: 30",,
